RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020
9,0,California,State,CA,334908,334798,335688,336953,338757,338421,337266,335719,334507,332863,330591,328627,326948,325511,323324,321099,318052,316243,314835,313459,311841,310043,309337,308196,307509,307006,307233,307987,309579,311551,313908,316877,320304,324526,328422,333556,338613,344599,351204,358569,366111,373725,381233,388518,394978,400590,405762,410246,414782,418520,420742,421839,422496,423365,424700,425434,426707,428066,430500,432304,434237,436419,439671,442406,445260,447478,449599,452146,455084,458310,460858,464375,467480,470172,471903,474600,477202,479956,482363,485397,488200,491244,493838,496089,498552,501219,504387,507266,510544,514009,516984,519693,522685,526022,530005,534187,538557,542929,546665,549649,552275,554872,557038,558133,558339,558524,558891,558634,558263,557401,557308,558435,560448,562658,563454,563660,563690,564463,565727,568355,572173,577145,582725,586971,587763,587561,589677,595598,602715,610082,617904,626079
54,1,Texas,State,TX,139214,139198,139218,139320,139351,139237,138773,138245,137713,137284,136770,136342,135930,135403,134828,134254,133788,133360,133176,133152,133248,133271,133145,132976,132951,133190,133540,133842,134167,134525,134955,135341,135635,135920,136376,136970,137664,138309,139068,139916,140784,141662,142562,143509,144552,145651,146741,147705,148579,149480,150279,151051,151856,152783,153667,154621,155573,156555,157533,158550,159579,160600,161694,162810,163851,164875,165880,166854,167750,168703,169570,170477,171428,172350,173246,174113,175156,176140,177208,178143,179140,180043,181167,182357,183433,184502,185434,186422,187256,188120,188898,189706,190575,191569,192552,193426,194219,195045,196059,197181,198283,199330,200263,201216,201967,202796,203527,204476,205562,206573,207337,207810,208331,208872,209496,210101,210677,210930,211239,211543,212274,212893,213851,214598,215225,215756,216555,217810,219357,221320,223551,225986
43,2,New York,State,NY,228336,228301,228216,228426,228550,228860,228903,228623,228026,227186,226455,225681,225190,224674,224216,223415,222597,221583,220801,220233,219858,219597,219184,218836,218436,217958,217577,217292,217262,217311,217423,217583,217760,217855,218057,218323,218629,219110,219506,220104,220635,221296,221943,222505,223039,223689,224350,224950,225533,226083,226730,227190,227567,227835,228017,228241,228488,228808,229168,229637,230068,230355,230515,230785,231174,231673,232260,232848,233451,233912,234296,234535,234825,235462,236284,237064,237692,238170,238733,239391,240099,240960,241865,242984,243974,244723,245359,246250,247414,248778,249912,250918,251847,252805,253897,254886,256068,257240,258443,259503,260501,261586,262819,264106,265329,266310,267096,267822,268686,269638,270779,271830,272836,273578,274004,274308,274391,274447,274637,275133,275984,276986,278194,279536,280446,281380,282645,284679,287148,290009,293130,296386
14,3,Florida,State,FL,167065,166351,165874,165425,164908,164127,163012,161686,160261,158739,157064,155472,153846,152334,150744,149307,147936,146857,145872,145193,144671,144377,144184,144036,144003,144030,144328,144815,145397,146064,146852,147751,148702,149723,150817,152089,153595,155297,157043,158812,160770,162741,164866,167053,169292,171296,173196,174920,176527,177890,179222,180357,181406,182290,183166,183794,184511,185509,186660,187808,188867,190039,191204,192377,193594,194908,196156,197580,199059,200540,201844,203296,204843,206496,207915,209344,210693,212191,213773,215289,216662,217921,219363,220753,222227,223577,224996,226531,228054,229574,230947,232436,233894,235372,236740,238097,239153,240344,241763,243331,244931,246334,247699,248893,250049,251109,252199,253382,254504,255328,255842,256285,256650,257289,258132,258793,259290,259808,260582,261393,262466,263955,265611,267196,268214,269133,270116,272021,274320,276941,279705,282759
21,4,Illinois,State,IL,188494,188196,186846,186754,185691,185781,183687,182603,180851,179903,178025,176426,174830,173612,172476,170622,169336,167507,167092,166026,165504,163774,162901,161473,160737,159237,158905,158451,158475,158067,157468,156921,156414,156763,157311,157901,158566,159451,160063,160978,161578,162769,163869,165448,166842,168395,169196,170225,170828,171730,172116,172284,172698,173413,174154,174570,175082,175362,175915,176292,176648,176750,177239,177991,178743,178960,179247,179490,179825,180062,180346,180795,181384,182411,183298,184056,184574,185227,185984,186713,187342,188048,188912,189844,190837,191600,192485,193310,194109,194739,195288,195982,196750,197594,198369,199206,200030,200698,201116,201528,202078,202768,203263,203660,204023,204343,204685,204907,205162,205510,205974,206462,206990,207408,207688,207762,207453,207102,206861,206961,207554,207902,208557,208849,209292,209715,210575,211799,213457,215312,217260,219191
47,5,Pennsylvania,State,PA,169604,169807,170010,170154,170223,170170,169896,169468,168789,167983,167065,166216,165416,164664,163923,163089,162278,161461,160839,160417,160203,160008,159766,159468,159135,158812,158526,158363,158301,158233,158126,158044,157983,158012,158073,158219,158413,158623,158845,159143,159464,159867,160290,160656,160996,161245,161550,161768,162012,162239,162437,162501,162536,162692,162934,163130,163246,163366,163517,163733,163906,164048,164337,164763,165303,165577,165753,165943,166280,166668,167017,167280,167699,168262,168632,168861,168946,169390,169873,170445,170886,171359,171903,172623,173119,173566,173990,174710,175486,176238,176970,177710,178525,179382,180155,180900,181767,182677,183907,184967,186016,186664,187250,187746,188306,188801,189412,190037,190811,191644,192299,192886,193580,194385,195124,195669,196096,196529,196942,197476,198118,198998,200091,201257,202002,202835,203956,205678,207619,209782,212146,214663
44,6,Ohio,State,OH,122018,122107,122049,121987,121808,121603,121169,120665,120090,119513,118881,118205,117639,117048,116550,115898,115281,114701,114349,114067,113801,113482,113211,112999,112732,112442,112256,112174,112062,111886,111747,111718,111776,111837,111876,111946,112149,112444,112689,112960,113297,113739,114137,114529,114827,115233,115585,115882,115908,115866,115825,115894,116031,116248,116506,116663,116876,117026,117336,117722,118287,118892,119439,119898,120374,120824,121273,121700,122110,122509,122883,123221,123637,124047,124576,125059,125498,125922,126392,126938,127514,128108,128759,129473,130221,130913,131548,132208,132871,133558,134170,134933,135736,136630,137396,138115,138634,139314,140059,141044,141958,142793,143582,144195,144747,145257,145910,146641,147482,148296,149086,149657,150334,151036,151832,152450,153102,153661,154027,154516,155188,156052,156881,157779,158766,159819,160931,162356,163883,165601,167555,169514
30,7,Michigan,State,MI,105484,105120,104921,104813,104861,104909,104518,103964,103143,102416,101614,100985,100271,99727,99036,98330,97589,96893,96403,96205,96229,96280,96272,96266,96309,96328,96597,96910,97381,97883,98537,99151,99739,100463,101278,102045,102834,103841,105002,106229,107400,108580,109856,111216,112654,113935,115142,116386,117652,118738,119561,120260,121007,121842,122558,123125,123557,124051,124601,125108,125630,126204,126940,127602,128136,128608,129126,129750,130276,130794,131404,132197,132933,133620,134117,134897,135725,136658,137588,138462,139541,140626,141627,142512,143382,144305,145358,146402,147554,148557,149414,150290,151174,152130,153149,154153,155394,156659,157913,158994,160011,161159,162239,163244,164009,164728,165378,166239,166991,167784,168440,169225,170247,171397,172322,172777,173096,173377,173863,174304,175132,175998,177318,178665,179421,179827,180452,182047,183982,186107,188271,190567
16,8,Georgia,State,GA,145414,144778,144174,143924,143743,143376,142437,141172,139630,138296,136884,135718,134461,133425,132094,130627,128949,127466,126343,125684,125401,125148,124851,124194,123708,123206,123291,123494,123913,124347,124874,125216,125396,125618,126223,127075,128143,129264,130350,131366,132472,133678,134898,136259,137696,139173,140418,141715,142815,143898,144775,145661,146433,147153,147921,148641,149407,150109,150838,151495,152141,152758,153360,154046,154877,155774,156553,157313,158042,158734,159411,160083,160925,161751,162711,163655,164541,165263,165907,166556,167105,167824,168618,169577,170377,171248,172117,173036,173957,175014,176198,177366,178738,180040,181457,182804,184247,185622,186822,188041,189329,190700,192025,193287,194477,195651,196791,197852,198845,199757,200890,201953,202923,203631,204351,205218,206051,206786,207229,207760,208545,209714,210920,212030,212838,213769,214861,216342,218018,219998,222446,225141
36,9,North Carolina,State,NC,165878,165412,165012,164776,164648,164418,163902,163317,162644,162022,161345,160727,160023,159327,158510,157554,156696,156021,155529,155012,154598,154062,153560,153063,152703,152436,152254,152278,152204,152072,151944,152002,152056,152163,152291,152415,152581,152748,153088,153442,153921,154429,154957,155488,155974,156528,157001,157584,158066,158566,158875,159131,159351,159550,159720,159807,160003,160230,160630,161025,161524,162023,162660,163203,163683,164129,164701,165366,165940,166453,166874,167257,167689,168214,168699,169316,170066,171001,171901,172752,173642,174514,175439,176392,177300,178135,179058,180048,181000,181819,182539,183353,184244,185338,186383,187471,188554,189706,190776,191717,192724,193803,195012,196129,197177,198028,198992,199954,200999,201869,202716,203651,204502,205410,206207,207052,207886,208793,209713,210579,211300,212199,213207,214418,215499,216607,217862,219478,221307,223353,225579,228096
